"SEC","Sector","TRANS","Transaction","MEAS","Measure","COU","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NA","National aggregates","SURF","Area","VALUE","Value","AUS","Australia","2016","2016","KM2","Square kilometres","0","Units",,,7703350,,
"NA","National aggregates","POP","Population","VALUE","Value","AUS","Australia","2016","2016","HAB","Inhabitants","3","Thousands",,,24485,,
"NA","National aggregates","GDP","GDP","VALUE","Value","AUS","Australia","2016","2016","USD","US Dollar","9","Billions",,,1181.22,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","AUS","Australia","2016","2016","GRWH","Growth rate","0","Units",,,1.96,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","AUS","Australia","2016","2016","USD","US Dollar","0","Units",,,48242.52,,
"NA","National aggregates","SURF","Area","VALUE","Value","AUT","Austria","2016","2016","KM2","Square kilometres","0","Units",,,82409,,
"NA","National aggregates","POP","Population","VALUE","Value","AUT","Austria","2016","2016","HAB","Inhabitants","3","Thousands",,,8739.81,,
"NA","National aggregates","GDP","GDP","VALUE","Value","AUT","Austria","2016","2016","USD","US Dollar","9","Billions",,,441.39,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","AUT","Austria","2016","2016","GRWH","Growth rate","0","Units",,,1.48,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","AUT","Austria","2016","2016","USD","US Dollar","0","Units",,,50503.33,,
"NA","National aggregates","SURF","Area","VALUE","Value","BEL","Belgium","2016","2016","KM2","Square kilometres","0","Units",,,30326,,
"NA","National aggregates","POP","Population","VALUE","Value","BEL","Belgium","2016","2016","HAB","Inhabitants","3","Thousands",,,11295,,
"NA","National aggregates","GDP","GDP","VALUE","Value","BEL","Belgium","2016","2016","USD","US Dollar","9","Billions",,,526.43,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","BEL","Belgium","2016","2016","GRWH","Growth rate","0","Units",,,1.47,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","BEL","Belgium","2016","2016","USD","US Dollar","0","Units",,,46607.4,,
"NA","National aggregates","SURF","Area","VALUE","Value","CAN","Canada","2016","2016","KM2","Square kilometres","0","Units",,,9093510,,
"NA","National aggregates","POP","Population","VALUE","Value","CAN","Canada","2016","2016","HAB","Inhabitants","3","Thousands",,,36286.43,,
"NA","National aggregates","GDP","GDP","VALUE","Value","CAN","Canada","2016","2016","USD","US Dollar","9","Billions",,,1625.36,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","CAN","Canada","2016","2016","GRWH","Growth rate","0","Units",,,1.41,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","CAN","Canada","2016","2016","USD","US Dollar","0","Units",,,44792.55,,
"NA","National aggregates","SURF","Area","VALUE","Value","DEU","Germany","2016","2016","KM2","Square kilometres","0","Units",,,357376,,
"NA","National aggregates","POP","Population","VALUE","Value","DEU","Germany","2016","2016","HAB","Inhabitants","3","Thousands",,,82342,,
"NA","National aggregates","GDP","GDP","VALUE","Value","DEU","Germany","2016","2016","USD","US Dollar","9","Billions",,,4030.4,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","DEU","Germany","2016","2016","GRWH","Growth rate","0","Units",,,1.94,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","DEU","Germany","2016","2016","USD","US Dollar","0","Units",,,48947.07,,
"NA","National aggregates","SURF","Area","VALUE","Value","MEX","Mexico","2016","2016","KM2","Square kilometres","0","Units",,,1959250,,
"NA","National aggregates","POP","Population","VALUE","Value","MEX","Mexico","2016","2016","HAB","Inhabitants","3","Thousands",,,122273,,
"NA","National aggregates","GDP","GDP","VALUE","Value","MEX","Mexico","2016","2016","USD","US Dollar","9","Billions",,,2195.2,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","MEX","Mexico","2016","2016","GRWH","Growth rate","0","Units",,,2.29,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","MEX","Mexico","2016","2016","USD","US Dollar","0","Units",,,17953.23,,
"NA","National aggregates","SURF","Area","VALUE","Value","ESP","Spain","2016","2016","KM2","Square kilometres","0","Units",,,504712,,
"NA","National aggregates","POP","Population","VALUE","Value","ESP","Spain","2016","2016","HAB","Inhabitants","3","Thousands",,,46468.1,,
"NA","National aggregates","GDP","GDP","VALUE","Value","ESP","Spain","2016","2016","USD","US Dollar","9","Billions",,,1687.61,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","ESP","Spain","2016","2016","GRWH","Growth rate","0","Units",,,3.27,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","ESP","Spain","2016","2016","USD","US Dollar","0","Units",,,36317.67,,
"NA","National aggregates","SURF","Area","VALUE","Value","CHE","Switzerland","2016","2016","KM2","Square kilometres","0","Units",,,39993,,
"NA","National aggregates","POP","Population","VALUE","Value","CHE","Switzerland","2016","2016","HAB","Inhabitants","3","Thousands",,,8372.41,,
"NA","National aggregates","GDP","GDP","VALUE","Value","CHE","Switzerland","2016","2016","USD","US Dollar","9","Billions",,,534.9,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","CHE","Switzerland","2016","2016","GRWH","Growth rate","0","Units",,,1.38,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","CHE","Switzerland","2016","2016","USD","US Dollar","0","Units",,,63888.71,,
"NA","National aggregates","SURF","Area","VALUE","Value","USA","United States","2016","2016","KM2","Square kilometres","0","Units",,,9161920,,
"NA","National aggregates","POP","Population","VALUE","Value","USA","United States","2016","2016","HAB","Inhabitants","3","Thousands",,,323391,,
"NA","National aggregates","GDP","GDP","VALUE","Value","USA","United States","2016","2016","USD","US Dollar","9","Billions",,,18624.48,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","USA","United States","2016","2016","GRWH","Growth rate","0","Units",,,1.49,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","USA","United States","2016","2016","USD","US Dollar","0","Units",,,57591.2,,
"NA","National aggregates","SURF","Area","VALUE","Value","CHL","Chile","2016","2016","KM2","Square kilometres","0","Units",,,740243,,
"NA","National aggregates","POP","Population","VALUE","Value","CHL","Chile","2016","2016","HAB","Inhabitants","3","Thousands",,,18278,,
"NA","National aggregates","GDP","GDP","VALUE","Value","CHL","Chile","2016","2016","USD","US Dollar","9","Billions",,,415.4,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","CHL","Chile","2016","2016","GRWH","Growth rate","0","Units",,,1.59,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","CHL","Chile","2016","2016","USD","US Dollar","0","Units",,,22726.69,,
"NA","National aggregates","SURF","Area","VALUE","Value","CZE","Czech Republic","2016","2016","KM2","Square kilometres","0","Units",,,77219,,
"NA","National aggregates","POP","Population","VALUE","Value","CZE","Czech Republic","2016","2016","HAB","Inhabitants","3","Thousands",,,10565.28,,
"NA","National aggregates","GDP","GDP","VALUE","Value","CZE","Czech Republic","2016","2016","USD","US Dollar","9","Billions",,,367.17,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","CZE","Czech Republic","2016","2016","GRWH","Growth rate","0","Units",,,2.59,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","CZE","Czech Republic","2016","2016","USD","US Dollar","0","Units",,,34752.66,,
"NA","National aggregates","SURF","Area","VALUE","Value","DNK","Denmark","2016","2016","KM2","Square kilometres","0","Units",,,42924,,
"NA","National aggregates","POP","Population","VALUE","Value","DNK","Denmark","2016","2016","HAB","Inhabitants","3","Thousands",,,5729,,
"NA","National aggregates","GDP","GDP","VALUE","Value","DNK","Denmark","2016","2016","USD","US Dollar","9","Billions",,,280.84,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","DNK","Denmark","2016","2016","GRWH","Growth rate","0","Units",,,1.96,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","DNK","Denmark","2016","2016","USD","US Dollar","0","Units",,,49020.54,,
"NA","National aggregates","SURF","Area","VALUE","Value","EST","Estonia","2016","2016","KM2","Square kilometres","0","Units",,,43432,,
