Region,Area,Geographical center,Largest city
Nebraska,199099,72555594946,72550014942
South Dakota,196540,72656024025,72651014944
North Dakota,178647,72753514919,72753014914
Missouri,178414,72442013997,72446313988
Oklahoma,177847,72354403954,72353013967
Washington,172348,72782594239,72793024233
Georgia,149976,72217003813,72219013874
Michigan,147121,72539014836,72537514822
Iowa,144701,72547294989,72546014933
Illinois,143961,72439093822,72534014819
Wisconsin,140663,72645204826,72640014839
Florida,139670,72205012815,72202012839
Arkansas,134856,72340313963,72340313963
Alabama,131426,72226013895,72228013876
Greece,130048,16648099999,16699099999
North Carolina,126161,72301003810,72314013881
New York,122283,72503614757,72505394728
Mississippi,121489,72235003940,72235003940
Pennsylvania,116075,72514014778,72408013739
Louisiana,112825,72240513976,72231012916
Bulgaria,110001,15552099999,15614099999
Tennessee,106752,72327013897,72334013893
Ohio,106056,72428014821,72428804804
Kentucky,102896,72422093820,72423093821
Virginia,102548,72410013733,72308013737
Iceland,100450,4063099999,4030099999
Korea,99461,47133099999,47108099999
Indiana,92895,72438093819,72438093819
Hungary,91248,12840099999,12840099999
Portugal,90996,8570099999,8535099999
Austria,82519,11012099999,11035099999
Maine,79931,72619614610,72606014764
South Carolina,77983,72310453867,72208013880
Czech Republic,77212,11659099999,11519099999
Ireland,68655,03962099999,03969099999
Latvia,63290,26435099999,26422599999
Lithuania,62643,26634099999,26730099999
West Virginia,62361,72417013729,72414013866
Croatia,55896,14328099999,14236099999
Slovak Republic,48702,11927599999,11927499999
Estonia,43466,26135099999,26038099999
Denmark,41987,06030099999,06155199999
Switzerland,39860,06660099999,06610099999
Netherlands,34188,06240099999,06260099999
Belgium,30451,06447099999,06447099999
Maryland,25314,72406093721,72406093721
Vermont,23956,72614594705,72617014742
New Hampshire,23227,72605014745,74394514710
Israel,21643,40183099999,40183099999
Massachusetts,20306,72510094746,72509014739
Slovenia,20145,14015099999,14015099999
New Jersey,19211,72409514792,72502014734
Hawaii,16635,91182022521,91182022521
Connecticut,12548,72508714752,72504094702
Delaware,5060,72409313764,72418013781
Rhode Island,2706,72507014765,72507014765
Luxembourg,2586,06590099999,06590099999
Malta,313,16597099999,16597099999
District of Columbia,159,99731499999,99731499999
