Region,Area,Geographical center,Largest city,,geo,city
Nebraska,199099,72555594946,72550014942,.csv,72555594946.csv,72550014942.csv
South Dakota,196540,72656024025,72651014944,.csv,72656024025.csv,72651014944.csv
North Dakota,178647,72753514919,72753014914,.csv,72753514919.csv,72753014914.csv
Missouri,178414,72442013997,72446313988,.csv,72442013997.csv,72446313988.csv
Oklahoma,177847,72354403954,72353013967,.csv,72354403954.csv,72353013967.csv
Washington,172348,72782594239,72793024233,.csv,72782594239.csv,72793024233.csv
Georgia,149976,72217003813,72219013874,.csv,72217003813.csv,72219013874.csv
Michigan,147121,72539014836,72537514822,.csv,72539014836.csv,72537514822.csv
Iowa,144701,72547294989,72546014933,.csv,72547294989.csv,72546014933.csv
Illinois,143961,72439093822,72534014819,.csv,72439093822.csv,72534014819.csv
Wisconsin,140663,72645204826,72640014839,.csv,72645204826.csv,72640014839.csv
Florida,139670,72205012815,72202012839,.csv,72205012815.csv,72202012839.csv
Arkansas,134856,72340313963,72340313963,.csv,72340313963.csv,72340313963.csv
Alabama,131426,72226013895,72228013876,.csv,72226013895.csv,72228013876.csv
Greece,130048,16648099999,16699099999,.csv,16648099999.csv,16699099999.csv
North Carolina,126161,72301003810,72314013881,.csv,72301003810.csv,72314013881.csv
New York,122283,72503614757,72505394728,.csv,72503614757.csv,72505394728.csv
Mississippi,121489,72235003940,72235003940,.csv,72235003940.csv,72235003940.csv
Pennsylvania,116075,72514014778,72408013739,.csv,72514014778.csv,72408013739.csv
Louisiana,112825,72240513976,72231012916,.csv,72240513976.csv,72231012916.csv
Bulgaria,110001,15552099999,15614099999,.csv,15552099999.csv,15614099999.csv
Tennessee,106752,72327013897,72334013893,.csv,72327013897.csv,72334013893.csv
Ohio,106056,72428014821,72428804804,.csv,72428014821.csv,72428804804.csv
Kentucky,102896,72422093820,72423093821,.csv,72422093820.csv,72423093821.csv
Virginia,102548,72410013733,72308013737,.csv,72410013733.csv,72308013737.csv
Iceland,100450,04063099999,04030099999,.csv,04063099999.csv,04030099999.csv
Korea,99461,47133099999,47108099999,.csv,47133099999.csv,47108099999.csv
Indiana,92895,72438093819,72438093819,.csv,72438093819.csv,72438093819.csv
Hungary,91248,12843099999,12843099999,.csv,12843099999.csv,12843099999.csv
Portugal,90996,08570099999,08535099999,.csv,08570099999.csv,08535099999.csv
Austria,82519,11012099999,11035099999,.csv,11012099999.csv,11035099999.csv
Maine,79931,72619614610,72606014764,.csv,72619614610.csv,72606014764.csv
South Carolina,77983,72310453867,72208013880,.csv,72310453867.csv,72208013880.csv
Czech Republic,77212,11659099999,11519099999,.csv,11659099999.csv,11519099999.csv
Ireland,68655,03962099999,03969099999,.csv,03962099999.csv,03969099999.csv
Latvia,63290,26435099999,26422599999,.csv,26435099999.csv,26422599999.csv
Lithuania,62643,26634099999,26730099999,.csv,26634099999.csv,26730099999.csv
West Virginia,62361,72417013729,72414013866,.csv,72417013729.csv,72414013866.csv
Croatia,55896,14328099999,14236099999,.csv,14328099999.csv,14236099999.csv
Slovak Republic,48702,11927599999,11927499999,.csv,11927599999.csv,11927499999.csv
Estonia,43466,26135099999,26038099999,.csv,26135099999.csv,26038099999.csv
Denmark,41987,06030099999,06155199999,.csv,06030099999.csv,06155199999.csv
Switzerland,39860,06660099999,06610099999,.csv,06660099999.csv,06610099999.csv
Netherlands,34188,06240099999,06260099999,.csv,06240099999.csv,06260099999.csv
Belgium,30451,06447099999,06447099999,.csv,06447099999.csv,06447099999.csv
Maryland,25314,72406093721,72406093721,.csv,72406093721.csv,72406093721.csv
Vermont,23956,72614594705,72617014742,.csv,72614594705.csv,72617014742.csv
New Hampshire,23227,72605014745,74394514710,.csv,72605014745.csv,74394514710.csv
Israel,21643,40183099999,40183099999,.csv,40183099999.csv,40183099999.csv
Massachusetts,20306,72510094746,72509014739,.csv,72510094746.csv,72509014739.csv
Slovenia,20145,14015099999,14015099999,.csv,14015099999.csv,14015099999.csv
New Jersey,19211,72409514792,72502014734,.csv,72409514792.csv,72502014734.csv
Hawaii,16635,91182022521,91182022521,.csv,91182022521.csv,91182022521.csv
Connecticut,12548,72508714752,72504094702,.csv,72508714752.csv,72504094702.csv
Delaware,5060,72409313764,72418013781,.csv,72409313764.csv,72418013781.csv
Rhode Island,2706,72507014765,72507014765,.csv,72507014765.csv,72507014765.csv
Luxembourg,2586,06590099999,06590099999,.csv,06590099999.csv,06590099999.csv
Malta,313,16597099999,16597099999,.csv,16597099999.csv,16597099999.csv
District of Columbia,159,99731499999,99731499999,.csv,99731499999.csv,99731499999.csv
