#NAME?,,,,,,,,,,,,,,
State,income per cap,employment rate,Unemployment rate,Number of rooms per person,Share of labour force with at least secondary education,Life expectancy at birth,Standardised mortality rate,"Air pollution, level of PM2.5",Homicide rate,Voter turnout in general election,Share of households with internet broadband access,Perceived social network support,Self-evaluation of life satisfaction,Perception of corrution
AUS: Australia,27204,73.9,6.2,2.3,81.3,82.2,6.7,2.8,1.1,93.9,77,94.5,7.3,36
  AU1: New South Wales,27742,73.1,5.7,2.2,82.1,82.2,6.6,2.3,1.2,94,75,94.1,7.2,39.2
  AU2: Victoria,24513,73.7,6.6,2.3,82.4,82.7,6.4,4.4,0.8,94,77,95.2,7.4,30.7
  AU3: Queensland,26102,74.9,6.4,2.4,80.8,81.9,7,2,0.8,94.2,78,93.4,7.3,40.2
  AU4: South Australia,25435,72.9,6.7,2.4,77.5,82.2,7,3,1.1,92.8,75,93.4,7.4,31.1
  AU5: Western Australia,31803,77.8,5.2,2.5,79.6,82.6,6.5,2.6,1.3,94.3,79,93,7.2,33.4
  AU6: Tasmania,22907,72.2,7.2,2.4,72.4,80.7,9.1,1.7,1.2,95.1,72,93.4,7.7,29
  AU7: Northern Territory (NT),32966,74.9,4,1.9,82.5,77.1,9.9,3.3,7,82.4,79,99.4,7,34.8
  AU8: Australian Capital Territory (ACT),50393,79.6,4.2,2.4,91,83.4,6.9,3.5,0,94.9,85,96.3,7.7,18.9
AUT: Austria,23743,71.6,5.6,1.7,85.2,81.2,7.8,14.6,0.6,74.9,79,92.4,7.3,51.7
  AT11: Burgenland (AT),23661,69.9,4.8,2,86.5,80.9,8,14,0.7,83,80,92.5,7.2,53.1
  AT12: Lower Austria,24653,73.4,5.1,1.9,85.2,80.8,8,15.7,0.6,81,76,91.3,7.3,52
  AT13: Vienna,23243,64.9,10.1,1.7,86.5,80,8.4,15.9,1.1,70,83,90.8,7.2,51.8
  AT21: Carinthia,22843,70,6,1.9,88.4,81.5,7.5,19.9,0.5,73,73,93,7.3,58.8
  AT22: Styria,23265,71.4,4.9,1.9,86.8,81.5,7.4,12.6,0.2,75,78,93.6,7.4,53.9
  AT31: Upper Austria,23955,75.7,4,1.9,82.6,81.2,7.7,13.7,0.4,78,79,94,7.4,54.9
  AT32: Salzburg,24225,74.3,3.5,1.8,86.4,82,7.3,14.1,0.6,75,84,93.4,7.3,55.8
  AT33: Tyrol,23212,74.8,3.2,1.7,83.1,82.2,7,9.8,1,67,79,96,7.5,53.8
  AT34: Vorarlberg,24616,75.3,3.3,1.9,82.2,82,7.1,14.5,0.3,66,81,92.2,7.1,52.9
BEL: Belgium,19944,61.4,9,2.2,80.5,80.7,8,16.1,1.8,89.4,81,92.5,7.1,52.6
  BE1: Brussels Capital Region,18468,53.4,18.3,2.1,74.6,80.6,8.2,16,2.8,90.3,78,90.2,6.8,48.5
  BE2: Flemish Region,21148,66.7,5.1,2.3,82.6,81.6,7.4,16.8,1.5,90.8,85,94.5,7.2,53.4
  BE3: Wallonia,18261,56.8,11.8,2.3,78.3,79.1,9,14.9,2,87.6,77,90.2,6.8,53.8
CAN: Canada,22630,67.4,6.9,2.4,89.3,81.5,7,6.7,1.6,68.5,83.7,93.9,7.4,45.3
  CA10: Newfoundland and Labrador,23243,60.25,11.9,2.8,86.8,79.5,8.7,3.2,0.6,61.5,80.4,91.7,8.1,47.8
  CA11: Prince Edward Island,19460,68.9,10.6,2.6,84.9,80.5,8.1,2.9,0,77.4,80.7,82.5,8,31.7
  CA12: Nova Scotia,20317,63.75,9,2.7,87.9,80.3,8.2,2.6,1.8,71.1,81.4,92,7.4,43.4
  CA13: New Brunswick,20190,63.45,9.9,2.7,85.9,80.8,7.8,3.4,0.8,74.6,78.1,93.4,7.3,43.8
  CA24: Quebec,19706,66.5,7.7,2.4,87.7,81.5,6.7,5.8,1.3,66.4,79.6,93.9,7.4,65.4
  CA35: Ontario,22376,67.25,7.3,2.4,90.5,81.8,6.9,8.5,1.2,68.3,84.2,92,7.3,37
  CA46: Manitoba,20535,68.7,5.4,2.3,86,80,8.2,7.6,4.2,68.8,81.3,95.7,7.6,36.9
  CA47: Saskatchewan,24326,71.6,3.8,2.6,87.4,79.7,8.4,8.5,2.7,72.1,80.8,89.5,7.4,40.5
  CA48: Alberta,29664,75.3666666666667,4.7,2.5,88.5,81.3,7.2,6.8,2.2,69.1,88.1,91.6,7.4,34.5
  CA59: British Columbia,23293,65.7,6.1,2.4,91.7,82.3,6.5,5.4,1.6,70.4,89.6,96.3,7.6,32.4
  CA60: Yukon,30199,72.95,4.3,2.4,..,77.4,9.6,3,0,76,81.7,..,..,..
  CA61: Northwest Territories,30203,69.35,7.9,1.8,..,78.2,8.8,2.5,11.5,64.4,80.2,..,..,..
  CA62: Nunavut,23181,52.0666666666667,14,1.3,..,71.3,14.5,0.4,14.4,62,65.1,..,..,..
CHL: Chile,6925,63.9,6.4,1.2,79.1,78.7,8.8,4.8,3.1,49.4,36,83.5,6.4,62.5
  CL01: Tarapacá,6154,69,6,1.1,84.3,77,8.1,11.8,1.8,38.8,38,82.1,6.6,73.6
  CL02: Antofagasta,8243,61.8,6.1,1.1,88.5,79,9.8,15.7,2.7,42.2,54,87.6,7,68.2
  CL03: Atacama,6531,61.5,6.7,1.2,78.5,78.9,9,10.7,0.4,44.7,32,88.4,5.6,61.1
  CL04: Coquimbo,5173,65.2,7,1.2,75.8,78.5,8.2,4,2.6,48.2,25,90.3,6.8,65.7
  CL05: Valparaíso,6021,64.1,7.3,1.3,84.1,77.9,8.9,3.3,2,49.1,38,87.6,7.1,60
  CL06: O'Higgins,5542,66.6,5.5,1.2,71,77.8,9,6.1,3.9,52.4,18,81.2,6.4,77.8
  CL07: Maule,5017,63.8,6,1.2,65.1,78.2,9.6,6.3,3.7,54.1,16,74.6,6.6,83.2
  CL08: Bío-Bío,5393,57.8,8.1,1.2,75,77.4,9.2,3.6,2.2,52.1,25,82,6.4,63.8
  CL09: Araucanía,5160,67.9,6.1,1.2,71.1,76.7,9,3.1,3,48,17,83.1,6.4,58.8
  CL10: Los Lagos,5562,72,3.9,1.3,70.6,78.9,9.6,1.8,3.9,46.9,23,87,6.6,56.6
  CL11: Aysén,7958,75.2,3.8,1.2,70.9,77.3,10.8,1.5,5.6,41.7,21,60.2,7.9,58
  CL12: Magallanes y Antártica,8619,67.7,2.6,1.4,85.2,77.4,10.3,1,5,40.8,33,74.4,7.3,41.6
  CL13: Santiago Metropolitan,8670,64.3,6.4,1.2,83.6,77.4,8.3,6.1,3.5,49.9,50,86.3,6.8,62.6
  CL14: Los Rios,5330,61.9,4.8,..,70.6,77.7,9.9,2.8,3.1,49.9,21,87.9,5.8,77.1
  CL15: Arica Y Parinacota,5722,45.8,6.2,..,82.8,79.2,8.9,7.7,3.3,40.9,49,88.6,6.4,38.1
CZE: Czech Republic,12353,70.4,6.1,1.4,95,78.3,9.8,16.9,1.7,59.8,76,88.1,6.5,83
  CZ01: Prague,15968,77.6,2.5,1.3,97.7,79.8,8.6,19.1,2.1,64.1,88,90.9,6.8,82
  CZ02: Central Bohemian Region,13062,72.4,5.1,1.4,96,78.1,10.1,16.6,1.7,61.5,77,78.6,6.2,78.8
  CZ03: Southwest,11871,71.5,5.5,1.5,94.4,78.2,9.8,15,0.8,59.3,75,86.7,6.4,84.4
  CZ04: Northwest,10657,66.8,8.7,1.4,90.1,76.3,11.3,16.2,2,51.7,68,91,6.3,89.2
  CZ05: Northeast,11487,70,6.3,1.5,95,78.4,9.6,14.5,1.7,60.8,70,91.9,6.6,88.9
  CZ06: Southeast,12033,70.5,5.9,1.4,96.1,78.7,9.1,16.9,2.1,61.4,78,90,6.5,87.7
  CZ07: Central Moravia,11057,67.7,6.9,1.4,95.4,78,9.8,17.1,2.4,60.2,76,92.7,6.6,85.2
  CZ08: Moravia-Silesia,10876,66.2,8.6,1.3,94.1,77,10.5,23.2,0.9,55.5,74,83.7,6.2,86.5
DNK: Denmark,17517,74.7,6.7,1.9,76.5,80.4,8.5,9.4,0.7,85.9,85,95.9,7.7,15.9
  DK01: Capital (DK),18143,76.3,7.1,1.8,80.2,80.5,8.7,12.7,0.7,85.8,89,96.9,7.7,13.4
  DK02: Zealand,17493,74.7,6.3,1.8,75.2,79.9,8.9,11,0.7,85.7,86,94.4,7.5,20.1
